escuela,severidad,tipo,url,detalle,corrida
Enfermería,error,link_externo_roto,https://www9.uc.cl/PagoWEB/faces/index.xhtml,"ConnectionError: HTTPSConnectionPool(host='www9.uc.cl', port=443): Max retries exceeded with url: /PagoWEB/faces/index.xhtml (Caused by NameResolutionError(""HTTPSConnection(host='www9.uc.cl', port=443): Failed to resolve 'www9.uc.cl' ([Errno 8] nodename nor servname provided, or not known)""))",2026-08-19T23:41:26.031274Z
Enfermería,error,link_externo_roto,https://bit.ly/3BLdgPB,HTTP 404,2026-08-19T23:41:26.031274Z
Enfermería,error,link_externo_roto,https://correo.uc.cl,HTTP 404,2026-08-19T23:41:26.031274Z
Enfermería,error,link_externo_roto,https://forms.gle/iYf4pvhsYjUVvD8M7,HTTP 404,2026-08-19T23:41:26.031274Z
Enfermería,error,link_externo_roto,https://cienciasdelasalud.uc.cl/es,HTTP 404,2026-08-19T23:41:26.031274Z
Enfermería,error,documento_roto,https://medicina.uc.cl/wp-content/uploads/2020/07/Ficha-proyecto-REDCap-v01.2018.docx,HTTP 404,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_largo_incorrecto,https://enfermeria.uc.cl/investigacion-e-innovacion/contacto,187 caracteres,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_ausente,https://enfermeria.uc.cl/category/noticias,,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_ausente,https://enfermeria.uc.cl/category/sin-categoria,,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_largo_incorrecto,https://enfermeria.uc.cl/investigacion-e-innovacion/eventos-cientificos,166 caracteres,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_titulo_largo_incorrecto,https://enfermeria.uc.cl/la-formula-que-reduce-secuelas-criticas-en-pacientes-que-han-sufrido-accidente-cerebro-vascular,"111 caracteres: ""La fórmula que reduce secuelas en pacientes que han sufrido accidente cerebro vascular  - Escuela de Enfermería""",2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_ausente,https://enfermeria.uc.cl/la-formula-que-reduce-secuelas-criticas-en-pacientes-que-han-sufrido-accidente-cerebro-vascular,,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_largo_incorrecto,https://enfermeria.uc.cl/carrera-y-programas/pregrado/coordinacion-de-gestion-academica,174 caracteres,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_largo_incorrecto,https://enfermeria.uc.cl/carrera-y-programas/pregrado/reglamentos,184 caracteres,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_largo_incorrecto,https://enfermeria.uc.cl/carrera-y-programas/postgrado/postitulos-de-enfermeria,189 caracteres,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_ausente,https://enfermeria.uc.cl/category/vinculacion-con-el-medio,,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_largo_incorrecto,https://enfermeria.uc.cl/carrera-y-programas/postgrado/magister-en-enfermeria,168 caracteres,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_titulo_largo_incorrecto,https://enfermeria.uc.cl/siestas-de-20-a-30-minutos-en-el-trabajo-pueden-ayudar-a-evitar-errores-en-tareas-criticas,"114 caracteres: ""Siestas de 20 a 30 minutos en el trabajo pueden ayudar a evitar errores en tareas críticas - Escuela de Enfermería""",2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_ausente,https://enfermeria.uc.cl/siestas-de-20-a-30-minutos-en-el-trabajo-pueden-ayudar-a-evitar-errores-en-tareas-criticas,,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_largo_incorrecto,https://enfermeria.uc.cl/nuestra-escuela/sobre-escuela-de-enfermeria-uc,167 caracteres,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_ausente,https://enfermeria.uc.cl/nuestra-escuela/quienes-somos/consejo-clinico-de-enfermeria,,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_titulo_largo_incorrecto,https://enfermeria.uc.cl/concurso/concurso-interno-y-externo-cargo-de-profesor-a-asistente-area-de-personas-con-condiciones-cronicas-de-salud-en-contextos-ambulatorios-o-intrahospitalarios,"179 caracteres: ""Concurso Interno y Externo: Cargo de Profesor/a Asistente Área de Personas con Condiciones Crónicas de Salud en Contextos Ambulatorios o Intrahospitalarios - Escuela de Enfermería""",2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_ausente,https://enfermeria.uc.cl/concurso/concurso-interno-y-externo-cargo-de-profesor-a-asistente-area-de-personas-con-condiciones-cronicas-de-salud-en-contextos-ambulatorios-o-intrahospitalarios,,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_descripcion_largo_incorrecto,https://enfermeria.uc.cl/carrera-y-programas/postgrado/contacto,169 caracteres,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_titulo_duplicado,"https://enfermeria.uc.cl/, https://enfermeria.uc.cl","""Escuela de Enfermería""",2026-08-19T23:41:26.031274Z
Enfermería,advertencia,meta_titulo_duplicado,"https://enfermeria.uc.cl/investigacion-e-innovacion/contacto, https://enfermeria.uc.cl/carrera-y-programas/pregrado/contacto, https://enfermeria.uc.cl/carrera-y-programas/postgrado/contacto","""Contacto - Escuela de Enfermería""",2026-08-19T23:41:26.031274Z
Enfermería,advertencia,link_externo_no_verificable,https://investigacion.uc.cl/concursos,HTTP 403,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,link_externo_no_verificable,https://registrosacademicos.uc.cl/informacion-para-estudiantes/inscripcion-y-retiro-de-cursos,HTTP 403,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,link_externo_no_verificable,https://cl.linkedin.com/in/escuela-de-enfermer%C3%ADa-uc-a164a339,HTTP 999,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,link_externo_no_verificable,https://alertasypermanencia.uc.cl,HTTP 403,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,link_externo_no_verificable,https://protecciondedatos.uc.cl/politicas,HTTP 403,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,link_externo_no_verificable,https://www.linkedin.com/in/escuela-de-enfermer%C3%ADa-uc-a164a339,HTTP 999,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,link_externo_no_verificable,https://registrosacademicos.uc.cl/informacion-para-estudiantes/suspension-de-estudios,HTTP 403,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,link_externo_no_verificable,http://bibliotecas.uc.cl,HTTP 403,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,link_externo_no_verificable,https://registrosacademicos.uc.cl/informacion-para-estudiantes/anulacion-estudios,HTTP 403,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,link_externo_no_verificable,https://www.hhs.gov/hipaa/index.html,HTTP 403,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,link_externo_no_verificable,https://uccl0-my.sharepoint.com/:w:/g/personal/paula_farias_uc_cl/EaaViIW_QqRPjZOGq5al1SQB3z0P9gMO7dhahGb8kKuR-g?e=3lb6RK,HTTP 403,2026-08-19T23:41:26.031274Z
Enfermería,advertencia,imagen_no_verificable,https://enfermeria.uc.cl/wp-content/uploads/2024/10/Enfermeria-del-adulto-con-problemas-oncologicos.png,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2026-08-19T23:41:26.031274Z
Medicina,error,link_externo_roto,https://correo.uc.cl,HTTP 404,2026-08-19T23:41:26.031274Z
Medicina,error,link_externo_roto,https://cienciasdelasalud.uc.cl/es,HTTP 404,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_ausente,https://medicina.uc.cl/extension-y-vinculacion-con-el-medio/vinculacion-con-el-medio/asesorias-y-servicios,,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_ausente,https://medicina.uc.cl/virus-respiratorios,,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_ausente,https://medicina.uc.cl/category/investigacion,,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_titulo_largo_incorrecto,https://medicina.uc.cl/postgrado,"9 caracteres: ""Postgrado""",2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_titulo_largo_incorrecto,https://medicina.uc.cl/extension-y-vinculacion-con-el-medio/extension/noticias/de-la-ciencia-al-paciente-y-del-paciente-a-la-ciencia-academicos-uc-lideran-una-nueva-forma-de-formar-investigadores-en-epilepsia,"155 caracteres: ""De la ciencia al paciente y del paciente a la ciencia: Académicos UC lideran una nueva forma de capacitar investigadores en epilepsia - Escuela de Medicina""",2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_ausente,https://medicina.uc.cl/extension-y-vinculacion-con-el-medio/extension/noticias/de-la-ciencia-al-paciente-y-del-paciente-a-la-ciencia-academicos-uc-lideran-una-nueva-forma-de-formar-investigadores-en-epilepsia,,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_ausente,https://medicina.uc.cl/postgrado/acreditacion,,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_ausente,https://medicina.uc.cl/extension-y-vinculacion-con-el-medio/extension/diplomados-y-cursos,,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_titulo_largo_incorrecto,https://medicina.uc.cl/publicacion/antimicrobials-in-serious-illness-and-end-of-life-care-lifting-the-veil-of-silence,"105 caracteres: ""Antimicrobials in serious illness and end-of-life care: lifting the veil of silence - Escuela de Medicina""",2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_ausente,https://medicina.uc.cl/publicacion/antimicrobials-in-serious-illness-and-end-of-life-care-lifting-the-veil-of-silence,,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_titulo_largo_incorrecto,https://medicina.uc.cl/extension-y-vinculacion-con-el-medio/extension/noticias/delegacion-de-la-escuela-de-medicina-uc-realiza-operativo-oftalmologico-en-chad-y-renueva-convenio-con-el-hospitalario-universitario-el-buen-samaritano,"174 caracteres: ""Delegación de la Escuela de Medicina UC realiza operativo oftalmológico en Chad y renueva convenio con el Hospitalario Universitario El Buen Samaritano  - Escuela de Medicina""",2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_ausente,https://medicina.uc.cl/extension-y-vinculacion-con-el-medio/extension/noticias/delegacion-de-la-escuela-de-medicina-uc-realiza-operativo-oftalmologico-en-chad-y-renueva-convenio-con-el-hospitalario-universitario-el-buen-samaritano,,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_titulo_largo_incorrecto,https://medicina.uc.cl/extension-y-vinculacion-con-el-medio/extension/noticias/cientificas-chilenas-reconstruyen-por-primera-vez-la-historia-genetica-del-virus-andes-causante-del-hantavirus-en-chile,"142 caracteres: ""Científicas chilenas reconstruyen por primera vez la historia genética del virus Andes, causante del hantavirus en Chile - Escuela de Medicina""",2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_ausente,https://medicina.uc.cl/extension-y-vinculacion-con-el-medio/extension/noticias/cientificas-chilenas-reconstruyen-por-primera-vez-la-historia-genetica-del-virus-andes-causante-del-hantavirus-en-chile,,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_titulo_largo_incorrecto,https://medicina.uc.cl/publicacion/sindrome-de-ovario-poliquistico-en-la-adolescencia-como-diagnosticarlo,"95 caracteres: ""Síndrome de ovario poliquístico en la adolescencia, ¿cómo diagnosticarlo? - Escuela de Medicina""",2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_ausente,https://medicina.uc.cl/publicacion/sindrome-de-ovario-poliquistico-en-la-adolescencia-como-diagnosticarlo,,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_titulo_largo_incorrecto,https://medicina.uc.cl/evento/ii-curso-internacional-de-endoscopia-digestiva-y-enfermeria-endoscopica-i-encuentro-academico-agrupacion-de-mujeres-endoscopistas-de-chile,"161 caracteres: ""II Curso Internacional de Endoscopia Digestiva y Enfermería Endoscópica, I Encuentro Académico Agrupación de Mujeres Endoscopistas de Chile - Escuela de Medicina""",2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_largo_incorrecto,https://medicina.uc.cl/evento/ii-curso-internacional-de-endoscopia-digestiva-y-enfermeria-endoscopica-i-encuentro-academico-agrupacion-de-mujeres-endoscopistas-de-chile,1092 caracteres,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_titulo_largo_incorrecto,https://medicina.uc.cl/extension-y-vinculacion-con-el-medio/vinculacion-con-el-medio/alumni,"6 caracteres: ""Alumni""",2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_descripcion_ausente,https://medicina.uc.cl/extension-y-vinculacion-con-el-medio/vinculacion-con-el-medio/alumni,,2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_titulo_duplicado,"https://medicina.uc.cl/, https://medicina.uc.cl","""Escuela de Medicina""",2026-08-19T23:41:26.031274Z
Medicina,advertencia,meta_titulo_duplicado,"https://medicina.uc.cl/pregrado/acreditacion, https://medicina.uc.cl/postgrado/acreditacion","""Acreditación""",2026-08-19T23:41:26.031274Z
Medicina,advertencia,link_externo_no_verificable,http://bibliotecas.uc.cl,HTTP 403,2026-08-19T23:41:26.031274Z
Medicina,advertencia,link_externo_no_verificable,https://onlinelibrary.wiley.com/doi/10.1002/epi4.70282,HTTP 403,2026-08-19T23:41:26.031274Z
Medicina,advertencia,link_externo_no_verificable,https://medicinaveterinaria.uc.cl,HTTP 403,2026-08-19T23:41:26.031274Z
Medicina,advertencia,link_externo_no_verificable,https://protecciondedatos.uc.cl/politicas,HTTP 403,2026-08-19T23:41:26.031274Z
Medicina,advertencia,link_interno_no_verificable,https://medicina.uc.cl/pregrado/asuntos-estudiantiles/beneficios-estudiantiles,TooManyRedirects: Exceeded 30 redirects.,2026-08-19T23:41:26.031274Z
Medicina,advertencia,documento_no_verificable,https://uccl0-my.sharepoint.com/:w:/r/personal/magouborde_uc_cl/Documents/2026/ESCUELA%20DE%20MEDICINA/DIVISIONES/NOTAS%26POSTS/INTERDISCIPLINARIAS/GENOMAS%20HANTAVIRUS/Nota%20Hantavirus%20Jenniffer%20Angulo.docx?d=w378aaa084b834660902c6f356214f769&csf=1&web=1&e=r3wx2B&nav=eyJoIjoiMTEwMTg0NzYxNCJ9,HTTP 403,2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,http://odontologia.uc.cl/index.php/Actividades-extension,HTTP 404,2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,https://odontologia.lib.uc.cl/noticias/gran-participacion-en-cursos-de-educacion-continua-odontologia-uc,"ConnectionError: HTTPSConnectionPool(host='odontologia.lib.uc.cl', port=443): Max retries exceeded with url: /noticias/gran-participacion-en-cursos-de-educacion-continua-odontologia-uc (Caused by NameResolutionError(""HTTPSConnection(host='odontologia.lib.uc.cl', port=443): Failed to resolve 'odontologia.lib.uc.cl' ([Errno 8] nodename nor servname provided, or not known)""))",2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,https://odontologia.lib.uc.cl/noticias/docentes-de-odontologia-uc-exponen-sobre-politicas-publicas-que-favorecen-la-salud-bucal,"ConnectionError: HTTPSConnectionPool(host='odontologia.lib.uc.cl', port=443): Max retries exceeded with url: /noticias/docentes-de-odontologia-uc-exponen-sobre-politicas-publicas-que-favorecen-la-salud-bucal (Caused by NameResolutionError(""HTTPSConnection(host='odontologia.lib.uc.cl', port=443): Failed to resolve 'odontologia.lib.uc.cl' ([Errno 8] nodename nor servname provided, or not known)""))",2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,http://odontologia.uc.cl/estadias-y-visitas.html,HTTP 404,2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,http://www.educacioncontinua.uc.cl/cursos-y-seminarios-por-facultad.php?facultad=4598&sub_facultad=6810&o=4598&programas=empezados,HTTP 404,2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,https://odontologia.lib.uc.cl/noticias/en-su-10a-version-odontomovil-atendio-a-300-personas-de-forma-gratuita,"ConnectionError: HTTPSConnectionPool(host='odontologia.lib.uc.cl', port=443): Max retries exceeded with url: /noticias/en-su-10a-version-odontomovil-atendio-a-300-personas-de-forma-gratuita (Caused by NameResolutionError(""HTTPSConnection(host='odontologia.lib.uc.cl', port=443): Failed to resolve 'odontologia.lib.uc.cl' ([Errno 8] nodename nor servname provided, or not known)""))",2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,https://odontologia.lib.uc.cl/noticias/odontologia-uc-titula-a-su-quinta-generacion-de-cirujanos-dentistas,"ConnectionError: HTTPSConnectionPool(host='odontologia.lib.uc.cl', port=443): Max retries exceeded with url: /noticias/odontologia-uc-titula-a-su-quinta-generacion-de-cirujanos-dentistas (Caused by NameResolutionError(""HTTPSConnection(host='odontologia.lib.uc.cl', port=443): Failed to resolve 'odontologia.lib.uc.cl' ([Errno 8] nodename nor servname provided, or not known)""))",2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,https://enfermeria.uc.cl/educacion-continua/cursos,HTTP 404,2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,http://medicina.uc.cl/escuela/relaciones-internacionales,HTTP 404,2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,http://odontologia.uc.cl/index.php/Postgrado-y-Extension/bienvenida-de-la-directora-de-postgrado-y-extension.html,HTTP 404,2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,http://odontologia.uc.cl/Diplomados/diplomados-educacion-continua-uc.html,HTTP 404,2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,https://correo.uc.cl,HTTP 404,2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_externo_roto,http://enfermeria.uc.cl/asuntos-internacionales,HTTP 404,2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,link_interno_roto,https://facultadmedicina.uc.cl/facultad-de-medicina/infraestrucutra/campus/edificio-academico,HTTP 404,2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,imagen_roto,https://odontologia.lib.uc.cl/wp-content/uploads/2019/01/Seminario-Politicas-Publicas-e1548356326531-600x400.jpg,"ConnectionError: HTTPSConnectionPool(host='odontologia.lib.uc.cl', port=443): Max retries exceeded with url: /wp-content/uploads/2019/01/Seminario-Politicas-Publicas-e1548356326531-600x400.jpg (Caused by NameResolutionError(""HTTPSConnection(host='odontologia.lib.uc.cl', port=443): Failed to resolve 'odontologia.lib.uc.cl' ([Errno 8] nodename nor servname provided, or not known)""))",2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,imagen_roto,https://odontologia.lib.uc.cl/wp-content/uploads/2019/01/meUNRpc-e1548268787587-600x400.jpeg,"ConnectionError: HTTPSConnectionPool(host='odontologia.lib.uc.cl', port=443): Max retries exceeded with url: /wp-content/uploads/2019/01/meUNRpc-e1548268787587-600x400.jpeg (Caused by NameResolutionError(""HTTPSConnection(host='odontologia.lib.uc.cl', port=443): Failed to resolve 'odontologia.lib.uc.cl' ([Errno 8] nodename nor servname provided, or not known)""))",2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,imagen_roto,https://odontologia.lib.uc.cl/wp-content/uploads/2019/01/nGKUWpS-600x400.jpeg,"ConnectionError: HTTPSConnectionPool(host='odontologia.lib.uc.cl', port=443): Max retries exceeded with url: /wp-content/uploads/2019/01/nGKUWpS-600x400.jpeg (Caused by NameResolutionError(""HTTPSConnection(host='odontologia.lib.uc.cl', port=443): Failed to resolve 'odontologia.lib.uc.cl' ([Errno 8] nodename nor servname provided, or not known)""))",2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,imagen_roto,https://odontologia.lib.uc.cl/wp-content/uploads/2019/01/Odontomóvil-2019-600x400.jpg,"ConnectionError: HTTPSConnectionPool(host='odontologia.lib.uc.cl', port=443): Max retries exceeded with url: /wp-content/uploads/2019/01/Odontom%C3%B3vil-2019-600x400.jpg (Caused by NameResolutionError(""HTTPSConnection(host='odontologia.lib.uc.cl', port=443): Failed to resolve 'odontologia.lib.uc.cl' ([Errno 8] nodename nor servname provided, or not known)""))",2026-08-19T23:41:26.031274Z
Facultad de Medicina,error,imagen_roto,http://medicina.uc.cl/images/stories/investigacion/esquema-cicuc-registro-unico.jpg,HTTP 404,2026-08-19T23:41:26.031274Z
Facultad de Medicina,advertencia,meta_descripcion_ausente,https://facultadmedicina.uc.cl/,,2026-08-19T23:41:26.031274Z
Facultad de Medicina,advertencia,meta_titulo_largo_incorrecto,https://facultadmedicina.uc.cl/centros-y-programas/centro-de-educacion-medica-y-ciencias-de-la-salud,"72 caracteres: ""Centro de Educación Médica y Ciencias de la Salud - Facultad de Medicina""",2026-08-19T23:41:26.031274Z
Facultad de Medicina,advertencia,meta_descripcion_ausente,https://facultadmedicina.uc.cl/90-anos-facultad-de-medicina,,2026-08-19T23:41:26.031274Z
Facultad de Medicina,advertencia,link_externo_no_verificable,https://onlinelibrary.wiley.com/doi/10.1111/eje.12876,HTTP 403,2026-08-19T23:41:26.031274Z
Facultad de Medicina,advertencia,link_externo_no_verificable,https://cddoc.uc.cl/programas/proceso-de-convalidacion,HTTP 403,2026-08-19T23:41:26.031274Z
Facultad de Medicina,advertencia,link_externo_no_verificable,https://www.uc.cl/politica-de-privacidad,HTTP 403,2026-08-19T23:41:26.031274Z
Facultad de Medicina,advertencia,link_externo_no_verificable,http://bibliotecas.uc.cl,HTTP 403,2026-08-19T23:41:26.031274Z
Facultad de Medicina,advertencia,link_externo_no_verificable,http://journal.publications.chestnet.org/article.aspx?articleid=1085022,HTTP 403,2026-08-19T23:41:26.031274Z
Odontología,error,link_externo_roto,https://vidauniversitaria.uc.cl/389-manual-estudianteuc-2022/file,HTTP 404,2026-08-19T23:41:26.031274Z
Odontología,error,link_interno_roto,https://odontologia.uc.cl/intranet,HTTP 404,2026-08-19T23:41:26.031274Z
Odontología,error,link_externo_roto,https://correo.uc.cl,HTTP 404,2026-08-19T23:41:26.031274Z
Odontología,error,link_interno_roto,https://odontologia.uc.cl/pregrado/contacto-pregrado,HTTP 404,2026-08-19T23:41:26.031274Z
Odontología,error,link_externo_roto,https://cienciasdelasalud.uc.cl/es,HTTP 404,2026-08-19T23:41:26.031274Z
Odontología,advertencia,meta_titulo_largo_incorrecto,https://odontologia.uc.cl/dr-bruno-nervi-nattero-nuevo-decano-de-la-facultad-de-medicina-uc,"92 caracteres: ""Dr. Bruno Nervi Nattero: Nuevo Decano de la Facultad de Medicina UC - Escuela de Odontología""",2026-08-19T23:41:26.031274Z
Odontología,advertencia,meta_descripcion_ausente,https://odontologia.uc.cl/dr-bruno-nervi-nattero-nuevo-decano-de-la-facultad-de-medicina-uc,,2026-08-19T23:41:26.031274Z
Odontología,advertencia,meta_descripcion_ausente,https://odontologia.uc.cl/clinica-docente/especialidades,,2026-08-19T23:41:26.031274Z
Odontología,advertencia,meta_titulo_largo_incorrecto,https://odontologia.uc.cl/pregrado/admision,"8 caracteres: ""Admisión""",2026-08-19T23:41:26.031274Z
Odontología,advertencia,meta_titulo_largo_incorrecto,https://odontologia.uc.cl/inclusion-y-atencion-integral-la-labor-odontologica-para-personas-con-necesidades-especiales,"118 caracteres: ""Inclusión y atención integral: La labor odontológica para personas con necesidades especiales - Escuela de Odontología""",2026-08-19T23:41:26.031274Z
